2026.01.17 05:52:31 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom.sha1
2026.01.17 05:52:31 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.17 05:52:31 INFO  BSP server: Failed to download https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.17 05:52:31 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom.sha1
2026.01.17 05:52:32 INFO  BSP server: Failed to download https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom.sha1
2026.01.17 05:52:32 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.17 05:52:32 INFO  BSP server: Failed to download https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.17 05:52:32 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom.sha1
2026.01.17 05:52:32 INFO  BSP server: Failed to download https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom.sha1
2026.01.17 05:52:32 INFO  BSP server: Downloading https://repo.scala-lang.org/artifactory/maven-nightlies/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.17 05:52:33 INFO  BSP server: Downloaded https://repo.scala-lang.org/artifactory/maven-nightlies/ch/epfl/scala/bloop-frontend_2.12/2.0.17/bloop-frontend_2.12-2.0.17.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.17/bloop-shared_2.12-2.0.17.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.3/bloop-config_2.12-2.3.3.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.21/logback-classic-1.5.21.pom
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.17/bloop-shared_2.12-2.0.17.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.17/bloop-shared_2.12-2.0.17.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.17/bloop-shared_2.12-2.0.17.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.3/bloop-config_2.12-2.3.3.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.3/bloop-config_2.12-2.3.3.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.17/bloop-shared_2.12-2.0.17.pom
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.21/logback-classic-1.5.21.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.3/bloop-config_2.12-2.3.3.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.21/logback-classic-1.5.21.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.17/bloop-backend_2.12-2.0.17.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.3/bloop-config_2.12-2.3.3.pom
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.17/bloop-shared_2.12-2.0.17.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2026.01.17 05:52:33 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2026.01.17 05:52:33 INFO  BSP server: Failed to download https://oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.21/logback-classic-1.5.21.pom.sha1
2026.01.17 05:52:33 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom
